,Equipo local,Resultado,Equipo visitante,fecha
9,River Plate,4-1,Newell's Old Boys,13
10,Vélez Sarsfield,1-1,Gimnasia La Plata,13
11,Argentinos Juniors,2-0,Unión Santa Fe,13
12,Estudiantes de La Plata,1-0,Talleres de Córdoba,13
13,Racing Club,0-0,Boca Juniors,13
0,Central Córdoba (Santiago del Estero),3-0,Colón Santa Fe,14
1,Sarmiento,1-2,Godoy Cruz,14
2,San Lorenzo,2-0,Platense,14
3,Independiente,1-1,Huracán,14
4,Newell's Old Boys,2-0,Lanús,14
5,Tigre,0-0,Atlético Tucumán,14
6,Arsenal de Sarandí,0-0,River Plate,14
7,Boca Juniors,0-0,Rosario Central,14
8,Barracas Central,3-1,Defensa y Justicia,14
9,Aldosivi,3-2,Vélez Sarsfield,14
10,Talleres de Córdoba,3-3,Patronato,14
11,Unión Santa Fe,0-2,Gimnasia La Plata,14
12,Argentinos Juniors,1-0,Estudiantes de La Plata,14
13,Banfield,0-2,Racing Club,14
0,Colón Santa Fe,2-1,Tigre,15
1,Huracán,1-0,Newell's Old Boys,15
2,Lanús,1-0,Arsenal de Sarandí,15
3,Godoy Cruz,1-1,Independiente,15
4,River Plate,3-0,Central Córdoba (Santiago del Estero),15
5,Defensa y Justicia,0-1,Boca Juniors,15
6,Estudiantes de La Plata,1-0,Unión Santa Fe,15
7,Rosario Central,0-1,Banfield,15
8,Racing Club,1-2,San Lorenzo,15
9,Platense,0-0,Talleres de Córdoba,15
10,Vélez Sarsfield,1-1,Sarmiento,15
11,Patronato,0-0,Argentinos Juniors,15
12,Atlético Tucumán,4-0,Barracas Central,15
13,Gimnasia La Plata,0-0,Aldosivi,15
0,Central Córdoba (Santiago del Estero),2-2,Lanús,16
1,Arsenal de Sarandí,1-1,Huracán,16
2,San Lorenzo,1-1,Rosario Central,16
3,Banfield,1-2,Defensa y Justicia,16
4,Newell's Old Boys,1-2,Godoy Cruz,16
5,Argentinos Juniors,0-2,Platense,16
6,Talleres de Córdoba,1-1,Racing Club,16
7,Tigre,1-1,River Plate,16
8,Barracas Central,1-0,Colón Santa Fe,16
9,Sarmiento,0-0,Gimnasia La Plata,16
10,Independiente,1-1,Vélez Sarsfield,16
11,Boca Juniors,2-1,Atlético Tucumán,16
12,Estudiantes de La Plata,1-0,Patronato,16
13,Unión Santa Fe,0-0,Aldosivi,16
0,Huracán,2-0,Central Córdoba (Santiago del Estero),17
1,Lanús,1-2,Tigre,17
2,Rosario Central,1-0,Talleres de Córdoba,17
3,Aldosivi,1-2,Sarmiento,17
4,Vélez Sarsfield,0-1,Newell's Old Boys,17
5,Racing Club,1-0,Argentinos Juniors,17
6,Gimnasia La Plata,3-1,Independiente,17
7,Patronato,0-0,Unión Santa Fe,17
8,Platense,0-0,Estudiantes de La Plata,17
9,Colón Santa Fe,1-2,Boca Juniors,17
10,River Plate,2-0,Barracas Central,17
11,Defensa y Justicia,0-0,San Lorenzo,17
12,Godoy Cruz,1-0,Arsenal de Sarandí,17
13,Atlético Tucumán,0-0,Banfield,17
0,Independiente,3-0,Aldosivi,18
1,Argentinos Juniors,2-1,Rosario Central,18
2,Unión Santa Fe,1-0,Sarmiento,18
3,Barracas Central,2-0,Lanús,18
4,Patronato,1-0,Platense,18
5,Estudiantes de La Plata,1-0,Racing Club,18
6,Tigre,1-1,Huracán,18
7,Central Córdoba (Santiago del Estero),3-0,Godoy Cruz,18
8,San Lorenzo,1-1,Atlético Tucumán,18
9,Banfield,2-1,Colón Santa Fe,18
10,Arsenal de Sarandí,2-2,Vélez Sarsfield,18
11,Newell's Old Boys,2-0,Gimnasia La Plata,18
12,Boca Juniors,1-0,River Plate,18
13,Talleres de Córdoba,1-0,Defensa y Justicia,18
